"scenario_id","scenario_label","criterion_type","criterion_name","threshold_or_rule","role_in_model","source_logic"
"high_acceptance","Hog acceptans","Hard exclusion","Settlement proximity","Exclude at <= 250 m from settlement, housing and fastboende proxies","No-go within scenario","Fastboende points, buildings low/high, built centre, built low selection"
"high_acceptance","Hog acceptans","Distance conflict","Large roads clearance","Exclude at <= 75 m from large roads","No-go within scenario","Roads simplified using derived large road class"
"high_acceptance","Hog acceptans","Distance conflict","Medium roads clearance","Exclude at <= 25 m from medium roads","No-go within scenario","Roads simplified using derived medium road class"
"high_acceptance","Hog acceptans","Feasibility","Electrical connection distance","Require <= 7000 m to nearest selected electrical infrastructure","Keep candidate area","Minimum distance to high-voltage line, substation, underground cable or existing wind turbine"
"high_acceptance","Hog acceptans","Hard exclusion","Cultural environment","Exclude on overlap","No-go","Cultural preservation, valuable cultural environment, cultural-historical conservation"
"high_acceptance","Hog acceptans","Hard exclusion","Protected nature","Exclude on overlap","No-go","Protected areas, Natura designated land, Natura bird protection, Natura habitat, Ramsar, natur/vildt-reservat"
"high_acceptance","Hog acceptans","Hard exclusion","Military areas","Exclude on overlap","No-go","Military areas (PLST)"
"high_acceptance","Hog acceptans","Hard exclusion","Aviation approach","Exclude on overlap","No-go","Aviation approach zones (TST)"
"high_acceptance","Hog acceptans","Hard exclusion","Strand protection","Exclude on overlap","No-go","Strandbeskyttelse (MST/GDS)"
"high_acceptance","Hog acceptans","Feasibility","Electrical proximity ranking","Higher score close to <= 7 km","Positive feasibility","Nearest selected electrical infrastructure"
"high_acceptance","Hog acceptans","Soft preference","Settlement clearance","Higher score beyond 4 km from all settlement features","Negative avoidance","Distance to population and all building proxies"
"high_acceptance","Hog acceptans","Soft preference","Transport clearance","Higher score beyond 1.5 km from selected transport corridors","Negative avoidance","Distance to medium and large roads"
"high_acceptance","Hog acceptans","Soft preference","Protected-edge clearance","Higher score beyond 1.5 km","Negative avoidance","Distance to protected-nature polygons"
"high_acceptance","Hog acceptans","Soft preference","Culture clearance","Higher score beyond 1.5 km","Negative avoidance","Distance to cultural polygons"
"high_acceptance","Hog acceptans","Landscape context","Landscape cluster compatibility","Cluster 2 highest preference; clusters 1,3,4,5 increasingly constrained","Contextual weighting","Landscape-analysis cluster class"
