state_key_pattern,owner,scope,draft_or_applied,source_file,line_refs,created_or_seeded,applied_or_read_by,reset_region_behavior,v3_recommendation,notes
"solar_applied_config","solar","workspace","applied","potential_app.py","178; 394-436; 4329-4357; 12549-12550","Default in DEFAULT_SOLAR_APPLIED_CONFIG and _ensure_default_start_state.","Read by _solar_config_from_session, map assembly, solar filter configs, right panel summaries.","Set to default in _ensure_default_start_state for region/version.","Keep, but type as SolarAppliedConfig and include version/source_draft_hash.","Best V2 example of explicit applied state."
"solar_draft_small_population_active","solar","workspace","draft","potential_app.py","4360-4364; 12461-12464; 4385-4425","Primed from applied with _prime_solar_draft_state; widget key in solar form.","Copied to solar_applied_config only on solar form submit.","Explicitly reset to default in _ensure_default_start_state.","Keep as field in SolarDraftConfig, not as loose top-level key.","Controls small population constraint."
"solar_draft_large_population_active","solar","workspace","draft","potential_app.py","4360-4365; 12494-12497; 4385-4425","Primed from applied; widget key in solar form.","Copied to applied on submit.","Explicitly reset to default in _ensure_default_start_state.","Keep as field in SolarDraftConfig.","Controls large population / settlement buffer."
"solar_draft_area_m2_per_person","solar","workspace","draft","potential_app.py","4360-4364; 12473-12480; 4385-4425","Primed from applied; numeric widget in solar form.","Copied to applied on submit and mirrored to legacy scenario key.","Reset in _ensure_default_start_state.","Keep but avoid legacy mirror if V3 can remove it.","Used for small population capacity filter."
"solar_draft_population_buffer_m","solar","workspace","draft","potential_app.py","4360-4365; 12498-12505; 4385-4425","Primed from applied; numeric widget in solar form.","Copied to applied on submit and mirrored to legacy scenario key.","Reset in _ensure_default_start_state.","Keep as draft-only until apply.","For Trøndelag, applied value drives dissolved polygon buffer."
"solar_draft_{group_id}_active","solar","filter groups","draft","potential_app.py","219-357; 4370-4379; 4389-4405; 4433-4436","Primed per SOLAR_FILTER_GROUP_SPECS group.","Copied into applied selected_filters on submit.","Reset from DEFAULT_SOLAR_APPLIED_CONFIG in _ensure_default_start_state.","Keep, but store under draft.solar.filter_groups[group_id].active.","Group ids include roads, rail, reindeer, nature/culture-like constraints depending spec."
"solar_draft_{group_id}_buffer_m","solar","filter groups","draft","potential_app.py","219-357; 4370-4379; 4389-4405; 4438-4444","Primed per group from applied/default.","Copied into applied selected_filters on submit.","Reset from DEFAULT_SOLAR_APPLIED_CONFIG in _ensure_default_start_state.","Keep as typed buffer_m in draft/applied group config.","Should not trigger geometry until apply."
"solar_draft_{group_id}_layer__{layer_id}","solar","filter layers","draft","potential_app.py","4137-4157; 4268-4275; 4438-4448","Primed from applied/default layer ids.","Copied into applied selected_filters on submit.","Reset from DEFAULT_SOLAR_APPLIED_CONFIG in _ensure_default_start_state.","Keep as selected_layer_ids list, not one key per layer if possible.","Checkbox state for source layers used by analysis."
"solar_draft_protected_layer__{layer_id}","solar","protected filter layers","draft","potential_app.py","4137-4157; 4261-4264","Special key helper for protected layers.","Copied to applied selected_filters on submit.","Reset from DEFAULT_SOLAR_APPLIED_CONFIG in _ensure_default_start_state.","Avoid special casing in state model; use group namespace.","Special V2 compatibility shape."
"solar_draft_visual_source__{group_id}","solar","map layer visibility","draft","potential_app.py","4160-4165; 4191-4196; 4369-4383; 12481-12515","Primed from applied visible_source_groups.","Copied into applied visible_source_groups on submit.","Reset from DEFAULT_SOLAR_APPLIED_CONFIG in _ensure_default_start_state.","Keep as draft.layer_visibility.source_group_ids.","Analysis can use a layer even if source visibility is off."
"solar_draft_visual_buffer__{group_id}","solar","map layer visibility","draft","potential_app.py","4160-4165; 4191-4196; 4369-4383; 12481-12515","Primed from applied visible_buffer_groups.","Copied into applied visible_buffer_groups on submit.","Reset from DEFAULT_SOLAR_APPLIED_CONFIG in _ensure_default_start_state.","Keep as draft.layer_visibility.buffer_group_ids.","Controls rendered buffer overlays only after apply."
"wind_builder_selected_layers","wind","workspace","applied-ish","potential_app.py","176; 7890-7898; 8159-8160; 8205-8207","Seeded by wind builder defaults and form submit.","Read by _selected_wind_layers, wind preview, energy/potential assembly.","Default/reset path calls wind default helpers in _ensure_default_start_state.","Replace with wind_applied_config.selected_layer_ids_by_group.","Works, but is not explicit draft/applied state."
"wind_control__analysis__{group_id}","wind","analysis controls","form-draft/applied-after-submit","potential_app.py","7906-7907; 8058-8066; 8165-8170","Created as Streamlit form widget key.","Read after submit into wind ui_params and fingerprint.","Seeded with defaults in _prime_wind_builder_state and _ensure_default_start_state path.","Replace with wind_draft_config.analysis_values_m and wind_applied_config.analysis_values_m.","Do not rely on Streamlit form batching as the only contract."
"wind_control__group__{group_id}","wind","group active controls","form-draft/applied-after-submit","potential_app.py","7906-7907; 8090-8102; 8159-8163","Created as Streamlit form checkbox key.","Contributes to normalized layer selection after submit.","Seeded in _prime_wind_builder_state/defaults.","Replace with typed active_groups or selected_layer_ids_by_group.","Controls settlement/protected/culture/reindeer groups."
"wind_control__layer__{layer_id}","wind","source layer controls","form-draft/applied-after-submit","potential_app.py","7906-7907; 8109-8120; 8159-8160","Created as Streamlit form checkbox key.","Normalized into wind_builder_selected_layers after submit.","Seeded from saved selection/default layers.","Replace with selected_layer_ids arrays.","Disabled if layer assets are missing."
