parameter_id,layer_role,default_operation,buffer_required,crs,notes
settlement_population,conflict_source_and_buffer,distance_conflict,true,"Bornholm EPSG:25833; Trøndelag EPSG:25832","Too close is bad. Trøndelag default source is 250 m population-grid/centroid proxy; show dissolved polygon buffer, not H3 overlay."
settlement_built_environment,conflict_source_and_buffer,distance_conflict,true,"Bornholm EPSG:25833; Trøndelag EPSG:25832","Optional built-centre/building/holiday-house proxies. Multi-layer group should use min distance and any intersection, not additive scoring."
transport_roads,conflict_source_and_buffer,distance_conflict,true,"Bornholm EPSG:25833; Trøndelag EPSG:25832","Road classes split into sublayers. For wind, distance conflict; for solar, exclusion-style area subtraction around selected road layers."
electrical_grid,feasibility_source_and_buffer,proximity_feasibility,true,"Bornholm EPSG:25833; Trøndelag EPSG:25832","Near grid is a positive mask: potential only within max distance to selected grid objects. This is not a no-go buffer."
protected_nature,conflict_source_and_buffer,hard_exclusion,false,"Bornholm EPSG:25833; Trøndelag EPSG:25832","Intersection blocks; optional buffer expands blocked area. Keep protected nature separate from land-use/forest."
culture,conflict_source_and_buffer,hard_exclusion,false,"Bornholm EPSG:25833; Trøndelag EPSG:25832","Culture layers are hard exclusion in V2 first prototype; later V3 scenarios may relax this but must document deviation."
reindeer,conflict_source_and_buffer,hard_exclusion,false,"Trøndelag EPSG:25832","Trøndelag-specific reindeer husbandry controller; no Bornholm equivalent. Optional buffer expands exclusion."
land_use_forest,conflict_source_and_buffer,hard_exclusion,false,"Trøndelag EPSG:25832; Bornholm if mapped EPSG:25833","V2 treats forest/markdekke as solar exclusion/area subtraction, not generic inclusion. Keep separate from protected nature."
coastal,conflict_source_and_buffer,hard_exclusion,false,"Bornholm EPSG:25833; Trøndelag EPSG:25832 if mapped","Coastal/strand protection is hard exclusion with optional buffer; Trøndelag layer not fully wired in prototype."
aviation_approach,conflict_source_and_buffer,hard_exclusion,false,"Bornholm EPSG:25833; Trøndelag EPSG:25832 if mapped","Approach zones are hard exclusion. R-runtime has an exception where aviation_approach display buffer is not clipped at coastline."
aviation_bird,conflict_source_and_buffer,distance_conflict,true,"Bornholm EPSG:25833; Trøndelag EPSG:25832 if mapped","Distance-based conflict, not generic aviation hard-stop."
military,conflict_source_and_buffer,hard_exclusion,false,"Bornholm EPSG:25833; Trøndelag EPSG:25832 if mapped","Military areas are clean hard masks with optional buffer."
combined_result,result_layer,combined_acceptance,false,"Export/render EPSG:4326","If feasibility groups exist: intersection(feasible) minus union(conflict). Otherwise landmask minus union(conflict)."
source_layer,map_overlay,display_only,false,"Source CRS transformed to render EPSG:4326","Selected_for_analysis and source_visible are separate. Source may be hidden while still active in analysis."
buffer_layer,map_overlay,display_from_applied_buffer,true,"Computed in native CRS, exported EPSG:4326","Buffer visibility should be applied-state driven in V3. Draft buffer changes must not update this layer before apply."
